Course Code,Course Title,Credit Hour,Prerequisite,Content
CSE4447,Introduction to Robotics,3.00,"MAT1201, CSE3201","Basics of Robotics and Linear Algebra, Representing positions and rotations, Rotational transformations and parameterizations of rotations, Homogeneous transformations, kinematic chains and Denavit–Hartenberg (DH) convention, DH convention and forward kinematics, Inverse kinematics and angular velocity, Jacobian, Trajectory design and configuration space, Configuration space with examples and motion planning introduction, Motion planning: potential field and Probabilistic Roadmaps (PRM)."
CSE4449,Cloud Computing,3.00,N/A,"Cloud Computing has transformed the IT industry by opening the possibility for infinite or at least highly elastic scalability in the delivery of enterprise applications and software as a service (SaaS). Amazon Elastic Cloud, Microsoft 's Azure, Google App Engine, and many other Cloud offerings give mature software vendors and new start-ups the option to deploy their applications to systems of infinite computational power with practically no initial capital investment and with modest operating costs proportional to the actual use. The course examines the most important APIs used in the Amazon and Microsoft Cloud, including the techniques for building, deploying, and maintaining machine images and applications. We will learn how to use Cloud as the infrastructure for existing and new services. We will use open source implementations of highly available clustering computational environments, as well as RESTful Web services, to build very powerful and efficient applications. We also learn how to deal with not trivial issues in the Cloud, such as load balancing, caching, distributed transactions, and identity and authorization management"
CSE4451,Advanced Database Management Systems,3.00,"CSE2301, CSE2302, STA2101","Basic Concepts, Ordered Indices, Tree Index Files, Static Hashing, Dynamic Hashing, Comparison of Ordered Indexing and Hashing; Measures of Query Cost, Selection Operation, Sorting, Join Operation, Evaluation of Expressions; Transformation of Relational Expressions, Catalog Information for Cost Estimation, Statistical Information for Cost Estimation, Cost-based optimization; Transaction Concept, Transaction State, Concurrent Executions, Serializability; Lock-Based Protocols, Timestamp Based Protocols; Failure Classification, Storage Structure, Recovery and Atomicity, Log-Based Recovery, Recovery With Concurrent Transactions; Data Mining, Decision tree, Bayes theory, Randomize tree; Database System Architectures: Centralized and Client-Server Systems, Server System Architectures, Parallel Systems, Distributed Systems, Network Types; I/O Parallelism, Interquery Parallelism, Intraquery Parallelism, Intraoperation Parallelism, Interoperation Parallelism; Distributed Data Storage, Distributed Transactions, Commit Protocols; Database Design, Database Tuning Security and Authorization, Multidimensional query."
CSE4453,Topics of Current Interest,3.00,N/A,As necessary
CSE4455,Data Mining,3.00,"CSE2201, CSE2301","In this course we explore how this interdisciplinary field brings together techniques from databases, statistics, machine learning, and information retrieval. We will discuss the main data mining methods currently used, including data warehousing and data cleaning, clustering, classification, association rules mining, query flocks, text indexing and searching algorithms, how search engines rank pages, and recent techniques for web mining. Designing algorithms for these tasks is difficult because the input data sets are very large, and the tasks may be very complex. One of the main focuses in the field is the integration of these algorithms with relational databases and the mining of information from semi-structured data, and we will examine the additional complications that come up in this case."
CSE4457,Data Science,3.00,CSE3201,"Data Science is the study of the generalizable extraction of knowledge from data. Being a data scientist requires an integrated skill set spanning mathematics, statistics, machine learning, databases and other branches of computer science along with a good understanding of the craft of problem formulation to engineer effective solutions. This course will introduce students to this rapidly growing field and equip them with some of its basic principles and tools as well as its general mindset. Students will learn concepts, techniques and tools they need to deal with various facets of data science practice, including data collection and integration, exploratory data analysis, predictive modeling, descriptive modeling, data product creation, evaluation, and effective communication. The focus in the treatment of these topics will be on breadth, rather than depth, and emphasis will be placed on integration and synthesis of concepts and their application to solving problems. To make the learning contextual, real datasets from a variety of disciplines will be used."
CSE4458,Data Science Lab,1.00,CSE3202,Lab works based CSE4457
CSE4459,Big Data Analytics,3.00,N/A,"This course provides a basic introduction to big data and corresponding quantitative research methods. The objective of the course is to familiarize students with big data analysis as a tool for addressing substantive research questions. The course begins with a basic introduction to big data and discusses what the analysis of these data entails, as well as associated technical, conceptual and ethical challenges. Strength and limitations of big data research are discussed in depth using real-world examples. Students then engage in case study exercises in which small groups of students develop and present a big data concept for a specific real-world case. This includes practical exercises to familiarize students with the format of big data. It also provides a first hands-on experience in handling and analyzing large, complex data structures. The block course is designed as a primer for anyone interested in attaining a basic understanding of what big data analysis entails. There are no prerequisite requirements for this course."
CSE4460,Big Data Analytics Lab,1.00,N/A,Lab works based CSE 459
CSE4461,Digital Image Processing,3.00,"CSE1201, MAT 1101","Introduction to image processing: Image processing applications, image processing goals, image function, image representation, sampling and quantization, gray scale, binary (black and white), and color images, histograms, noise in images. Color image models: RGB, HIS, YIQ models. Image enhancement, convolution and filtering: Point processing, histogram equalization, histogram modeling, and histogram specification, spatial filtering – image smoothing, median filtering Edge detections: Sobel, Prewit, Laplacian and Canny edge detectors Image segmentation: Thresholding Shape detection, image matching and texture: image moments, central moments, moment invariants, template matching, area correlation, texture description, Image morphology: Basic morphological concepts, structuring elements, erosion, dilation, thinning, thickening, opening, and closing operations."
CSE4462,Digital Image Processing Lab,1.00,CSE1202,Lab works based CSE 495
CSE4463,Introduction to Bioinformatics,3.00,"CSE3201, CSE3202","Introduction; Molecular biology basics: DNA, RNA, genes, and proteins; Graph algorithms: DNA sequencing, DNA fragment assembly, Spectrum graphs; Sequence similarity; Suffix Tree and variants with applications; Genome Alignment: maximum unique match, LCS, mutation sensitive alignments; Database search: Smith-Waterman algorithm, FASTA, BLAST and its variations; Locality sensitive hashing; Multiple sequence alignment; Phylogeny reconstruction; Phylogeny comparison: similarity and dissimilarity measurements, consensus tree problem; Genome rearrangement: types of genome rearrangements, sorting by reversal and other operations; Motif finding; RNA secondary structure prediction; Peptide sequencing; Population genetics; Recent Trends in Bioinformatics."
CSE4465,Natural Language Processing,3.00,N/A,"Natural language processing (NLP) is one of the most important technologies of the information age. Understanding complex language utterances is also a crucial part of artificial intelligence. In this course, you will be given a thorough overview of Natural Language Processing and how to use classic machine learning methods. You will learn about Statistical Machine Translation as well as Deep Semantic Similarity Models (DSSM) and their applications. We will also discuss deep reinforcement learning techniques applied in NLP and Vision-Language Multimodal Intelligence."
CSE4467,Topics of Current Interest,3.00,N/A,As necessary.
CSE4469,Software Requirements Specification and Analysis,3.00,"CSE3200, CSE3203","This course offers to develop effective functional and non-functional requirements that are complete, concise, correct, consistent, testable and unambiguous, select the appropriate requirements elicitation techniques to identify requirements, design a set of software models to be used to flesh out hidden requirements and drive clarity into the system functional requirements, effectively analyze requirements and prioritize accordingly, perform requirements engineering in the context of the most common software development life cycles and processes, create a requirements specification to communicate requirements to a broad set of stakeholders, utilize various requirements validation techniques to critically evaluate their requirements to identify defects, manage change to requirements."
CSE4471,Design Patterns,3.00,"CSE2103, CSE2104","Revision of Concepts of OOP, Importance of learning design patterns, Types of Design Patterns - Structural, Behavioral and Creational Patterns, Creational Patterns – Singleton, Factory, Factory Method, Abstract Factory, Builder, Prototype and Object Pool, Behavioral Patterns - Chain of Responsibility, Command, Interpreter, Iterator, Mediator, Memento, Observer, Strategy, Template Method, Visitor and Null Object, Structural Patterns – Adapter, Bridge, Composite, Decorator, Flyweight and Proxy, REFACTORING CODE SMELL, Different type of code smells - Inappropriate Naming, Comments, Dead Code, Duplicated code, Primitive Obsession, Large Class, Lazy Class, Alternative Class with Different Interface, Long Method, Long Parameter List, Switch Statements, Speculative Generality, Oddball Solution, Feature Envy, Refused Bequest, Black Sheep and Train Wreck, Design Principles (SOLID) - Single responsibility principle, Open Close Principle, Liskov substitution principle, Interface segregation principle, Dependency Inversion principle."
CSE4473,Software Testing and Quality Assurance,3.00,"CSE3200, CSE3203","Software Testing Life Cycle (STLC), SDLC vs STLC; Testing Levels; Testing methods; Testing types: Specification-based vs. code-based, black-box vs. white-box, functional vs. structural testing; unit, integration, system, acceptance, and regression testing; Load, Performance, Stress, Unit Testing; Verification vs. validation; Test planning: scenario, case, traceability matrix; ISO Standards; Agile testing; Testing Estimation techniques; Introduction to software reliability, quality control and quality assurance; Formal verification methods; static and dynamic program verification. Testing Internet Applications - Security and Performance Testing, Debugging, Test Driven Development (TDD), Behavior Driven Development (BDD)."
CSE4474,Software Testing and Quality Assurance Lab,1.00,"CSE3200, CSE3203",Lab works based CSE4473
CSE4475,Mobile Application Development,3.00,CSE2103 & CSE2104,"Introduction to Android, Java Overview, Android Widgets, Layout Designs, Utilization of media files – text, mp3, jpeg, jpg, Activity States, Internal/External and Temporary/Permanent Data Storage."
CSE4477,Advanced Programming,3.00,"CSE1201, CSE1202, CSE2305, CSE2306","This is an advanced course in UNIX system facilities. It complements the operating systems course, in that it provides hands-on experience with such facilities as signals, semaphores and file locks. Familiarity with the C language is assumed. About 40% of the course is devoted to UNIX shell programming and some useful utilities like sed and awk. The rest of the course does the UNIX system calls in detail – unbuffered I/O, directories, process creation, signals, pipes, record locks, interposes communication, terminal handling and some tcp/ip calls."
CSE4478,Advanced Programming Lab,1.00,"CSE1201, CSE1202, CSE2305, CSE2306",Lab works based CSE4477
CSE4479,Human Computer Interaction,3.00,N/A,"This course explain the capabilities of both humans and computers from the viewpoint of human information processing, describe typical human–computer interaction (HCI) models and styles, as well as various historic HCI paradigms, apply an interactive design process and universal design principles to designing HCI systems, describe and use HCI design principles, standards and guidelines, analyze and identify user models, user support, socio-organizational issues, and stakeholder requirements of HCI systems, discuss tasks and dialogs of relevant HCI systems based on task analysis and dialog design, analyze and discuss HCI issues in groupware, ubiquitous computing, virtual reality, multimedia, and Word Wide Web-related environments."
CSE4481,Topics of Current Interest,3.00,N/A,As necessary.
CSE4483,Enterprise Systems: Concepts and Practice,3.00,N/A,"This course describes properties and architecture of enterprise systems, account for strategies and approaches for implementation and use of enterprise systems, explain how enterprise systems support organizations, analyses implementation and use of enterprise systems from a socio-technical perspective, apply socio-technical models and provide recommendations for implementation and use of enterprise systems implementation, discuss and present critical issues related to implementation and use of enterprise systems, critically assess the role of enterprise systems in organizations, argue for different enterprise systems solutions."
CSE4484,Enterprise Systems: Concepts and Practice Lab,1.00,N/A,Lab works based CSE4483
CSE4485,Electronic Business,3.00,N/A,"Electronic Business is an interdisciplinary topic encompassing both business and technology. Basic business aspects and applications throughout the business world include commercial business, government, education, and health services. The major characteristics, opportunities, and limitations of this form of business are explored. Students study various issues and risks that exist in the rapidly changing world of electronic business."
CSE4487,UI: Concepts and Design,3.00,N/A,"This course introduced to User Interface Design, User Interface Design process, User-Centered Web Design, User Interface Design Principles and Legal Guidelines, Color, Typography, Layout and Wireframing, designing a Basic Web Site, Navigation Concepts, Designing and Developing a Professional Web Site, Site Publishing, Maintenance, Security, and SEO Strategies."
CSE4489,IT Audit: Concepts and Practice,3.00,N/A,"This course will provide attendees with an introduction to IT auditing, emphasizing the concepts through exercises and case studies. Internal audit professionals will develop knowledge of basic IT audit concepts that can be used to facilitate integrated audit efforts within their organization."
CSE4491,ICT for Development,3.00,N/A,"Conceptual frameworks to understand the prospects and challenges and roles of information and of information and communications technologies (ICTs) in social and economic development; knowledge and skills to help in the effective planning, development, implementation and management of ICT for development initiatives; case studies."
CSE4493,Topics of Current Interest,3.00,N/A,As necessary.
CSE4701,E-Commerce,3.00,N/A,"An introduction to e-commerce principles, theories, technologies and applications. This course gives an overview of the impact of new technologies on commercial paradigms and practices, legal issues and business ethics. The course also comprises advanced managerial issues regarding the use of cutting-edge e-Business applications. It provides students with a deeper understanding of new technologies and recent theory in e-commerce and their implications for e-business thought and practice."
CSE4703,Management Information System,3.00,N/A,"Introduction to MIS, Components on IS, Structures of IS, Implementation of different IS, DSS, AIS, Project Planning, Production cycle, Data processing, Processing cycle, etc."
CSE4705,Multimedia Design and Development,3.00,N/A,"Analysis, design and implementation of multimedia software, primarily for e-learning courses or training. Projects emphasize user interface design, content design with storyboards or scripts, creation of graphics, animation, audio and video materials, and software development using high level authoring tools."
CSE4707,Web Application Design,3.00,N/A,"Introduction to Web Technologies. HTML5, CSS3 with it 's new components. JavaScript, jQuery, AJAX. Data transmission formats and processes. XML and JSON. Cyber Security and Secured Protocols."
CSE4709,Social and Professional Issues in Computing,3.00,N/A,"Introduction to the social implications of computing, Social implications of networked communication, Growth of, Control of, and access to the Internet, Gender – Related issues, Cultural issues, International Issues, Accessibility Issues (e.g. underrepresentation of minorities, Women and disabled in the computing profession), Public policy issues (e.g. electronic voting). Making and evaluating ethical arguments, Identifying and evaluating ethical choices, Understanding the social context of design, Identifying assumptions and values. Professional Ethics: Community values and the laws by which we live, The nature of professionalism (Including care, attention and discipline, fiduciary responsibility, and mentoring). Keeping up-to-date as a professional (in terms of knowledge, tools, skills, legal and professional framework as well as the ability to self-assess and computer fluency), Various forms of professional credentialing and the advantages and disadvantages, Codes of ethics, conduct, and practice(IEEE, ACM, SE, AITP, and so forth), Dealing with harassment and discrimination, Historical examples of software risks (such as the Therac-25 case), Implications of software complexity, Risk assessment and Risk Management; Risk removal, risk reduction and risk control. Security Operations: Physical security, Physical access controls, Personnel access controls, Operational security, Security polices for systems/networks, Recovery and Response, Dealing with problems (both technical and human). Foundations of Intellectual Property, Copyrights, patents, and trade secrets, Software Piracy, Software Patents, Transactional issues concerning Intellectual Property. History and examples of computer crime, “Cracking” (“Hacking”) and its effects, Viruses, Worms, and Trojan Horses, Identity Theft, Crime Prevention strategies."
CSE4711,AI & ML For Social Good,3.00,N/A,"Advancement of AI technology has enabled more expansion of its application area. From medical treatment, gaming, manufacturing to daily business processes. A huge amount of money has been poured in AI research due to its exciting discoveries. However, the rapid growth and excitement that the technology offers obscure us from looking at the impact it brings in our society. This course gives an introduction to AI & Machine Learning and discusses various impacts of AI & ML in our lives and society today."
CSE4713,Tech Startup,3.00,N/A,"This course will work on building the entrepreneurial mindset and introducing basic entrepreneurship principles, technology innovation and creativity through interactive lectures, workshops, and case studies in contemporary issues to include energy, life sciences, healthcare, social issues to be tackled through technology. This course will help students learn the processes and skills needed to launch and manage new technology ventures, with a focus on business plan development. Topics related to critical legal and business issues entrepreneurs face as they build and launch a new technology venture will be covered. Attention will be placed on new venture formation, intellectual property management, and financing arrangements to establish a tech startup."
CSE4715,Data Analytics,3.00,N/A,"Data analysis is an evolving area of studies with focus on various predictive modeling techniques coupled with ample analytical tools that help increase our capacity to handle data. This course helps students to develop a basic understanding of data analysis that they will need to make decisions using data, and to communicate the results effectively. The course is an introduction to the key concepts of statistics for data analysis, essential tools and methodologies for predictive modeling tasks."
CSE4719,IT Project Management,3.00,N/A,Introduction to IT project management concepts and frameworks; the role of the project manager; conceptualizing and visualizing projects in terms of the overall cycle from initiation through to sign off; project management processes and knowledge areas; project management tools and techniques; interfaces between the project manager and various stakeholders; working in teams; career planning
CSE4721,AR/VR,3.00,N/A,"This course will introduce you to the world of Augmented, Mixed, and Virtual Reality interfaces. These interfaces enable new kinds of user experiences by superimposing digital content onto the user 's real-world view or creating fully immersive virtual world experiences. You will learn about the differences between AR/VR, about the technical and design requirements for creating such user experiences, and how to prototype and develop your first AR/VR interfaces. You will also receive an overview of new and evolving interaction design principles and methods, current AR/VR interface development approaches, and how to assess the usability of AR/VR interfaces."
